#1) phi1 (deg)
#2) phi2 - 1 sigma (deg)
#3) phi2 (median) (deg)
#4) phi2 + 1 sigma (deg)
-3.1 -0.582158033594 -0.56551671644 -0.549139474822
-3.08 -0.579413062859 -0.562897800392 -0.546650190213
-3.06 -0.57672527675 -0.560336526595 -0.544178294689
-3.04 -0.574062686328 -0.557805174987 -0.541732772087
-3.02 -0.571417132679 -0.555257564849 -0.539297435139
-3.0 -0.568797984029 -0.552745044064 -0.536901231767
-2.98 -0.566206419881 -0.55027810456 -0.534511923289
-2.96 -0.563643303272 -0.547807337672 -0.532166954065
-2.94 -0.561101975195 -0.545333946329 -0.529822573257
-2.92 -0.55855915772 -0.542901891958 -0.527468695113
-2.9 -0.556062107804 -0.54051378457 -0.52515471251
-2.88 -0.553601796701 -0.538136353571 -0.522822311696
-2.86 -0.551158212121 -0.535782987594 -0.520539093256
-2.84 -0.54872936762 -0.533456800565 -0.518276607186
-2.82 -0.546358510223 -0.531112283841 -0.516025744111
-2.8 -0.543960679385 -0.528818612697 -0.51380323013
-2.78 -0.54159054938 -0.526547256982 -0.511599147171
-2.76 -0.539247065259 -0.524289587352 -0.509378226693
-2.74 -0.536924131521 -0.522024335154 -0.507195732297
-2.72 -0.534630092546 -0.519792719214 -0.505052560239
-2.7 -0.532367517931 -0.517604567039 -0.502932889754
-2.68 -0.530104561026 -0.515419847444 -0.500797580796
-2.66 -0.527872083707 -0.513272823861 -0.498694174093
-2.64 -0.525669709504 -0.511124598994 -0.496610587966
-2.62 -0.523449575092 -0.508999781953 -0.494541146256
-2.6 -0.52128837674 -0.506877671377 -0.49249673912
-2.58 -0.519134843356 -0.504778885169 -0.490421456769
-2.56 -0.517001687664 -0.502666820956 -0.488393161965
-2.54 -0.514888183806 -0.500584348624 -0.486392303986
-2.52 -0.512774238446 -0.498524940907 -0.484363473507
-2.5 -0.510702842226 -0.496488442727 -0.48238946533
-2.48 -0.50867973988 -0.494480552988 -0.480398958978
-2.46 -0.506651752707 -0.492481909951 -0.478445916179
-2.44 -0.504617508379 -0.490488664561 -0.47650432426
-2.42 -0.502621698823 -0.488507152786 -0.474549188035
-2.4 -0.500636295796 -0.486525235997 -0.472618926325
-2.38 -0.498645454508 -0.48456533059 -0.470679537181
-2.36 -0.496700287394 -0.482646169214 -0.468777875748
-2.34 -0.494755675945 -0.480741926272 -0.46686650444
-2.32 -0.49283650423 -0.478836732205 -0.46500890251
-2.3 -0.490926604928 -0.47694306195 -0.463143187607
-2.28 -0.489036893319 -0.475057200372 -0.461282571916
-2.26 -0.487154285252 -0.473194740705 -0.459395513792
-2.24 -0.485281955239 -0.471350100866 -0.457547650581
-2.22 -0.483420003275 -0.469506506107 -0.455725594576
-2.2 -0.481560681129 -0.46769628974 -0.453894882082
-2.18 -0.479718351874 -0.465890099755 -0.45205880487
-2.16 -0.477889362702 -0.464083947779 -0.450245153145
-2.14 -0.476086002854 -0.46230263095 -0.448481926708
-2.12 -0.474318747807 -0.460513107474 -0.446702318258
-2.1 -0.472536423236 -0.458741193688 -0.44491820108
-2.08 -0.470761754974 -0.45695167765 -0.443181512396
-2.06 -0.46899880768 -0.455180010303 -0.441450757092
-2.04 -0.467252927125 -0.4534523828 -0.439721284043
-2.02 -0.465516223773 -0.451723893646 -0.438028481421
-2.0 -0.463773308643 -0.449996067873 -0.436316779052
-1.98 -0.462053347546 -0.448277587214 -0.43461665992
-1.96 -0.460308648542 -0.446556963128 -0.432911798655
-1.94 -0.458581484838 -0.444836766357 -0.431213694968
-1.92 -0.456891022345 -0.443149965641 -0.429532940695
-1.9 -0.455175060124 -0.441467718186 -0.427868579724
-1.88 -0.453486567243 -0.439774082222 -0.426222763278
-1.86 -0.451772748105 -0.438089310871 -0.424574896062
-1.84 -0.450078817577 -0.436425411147 -0.422972254515
-1.82 -0.448385624739 -0.434754179057 -0.421338809457
-1.8 -0.446688039549 -0.433106810692 -0.419710443022
-1.78 -0.444995042422 -0.431458575639 -0.418105770753
-1.76 -0.443307018307 -0.429834228265 -0.41648872354
-1.74 -0.441621466586 -0.428212020974 -0.414905782187
-1.72 -0.439938368607 -0.426599052168 -0.413324342964
-1.7 -0.438291060444 -0.424980773069 -0.411780226724
-1.68 -0.436623087933 -0.423353392944 -0.410207379608
-1.66 -0.434969523215 -0.421741225989 -0.408659398299
-1.64 -0.433292346761 -0.420140399977 -0.407082699102
-1.62 -0.431634420396 -0.41855804533 -0.405549482477
-1.6 -0.429978658018 -0.416977685429 -0.403996459406
-1.58 -0.428323538928 -0.415387006093 -0.402472621524
