# source_id - Gaia DR2 identifier
# flags - stream name
# source - the literature source (explained below)
# Keys for literature sources given in this column are the following: 
# Koposov10 - Koposov et al. 2010 radial velocities, the distances are estimated from fits to tracks
# Li17 - Li et al. 2017 radial velocities, the distances are estimated from fits to tracks
# Willet09 - Willet et al. 2009 radial velocities, the distances are estimated from fits to tracks
# Ibata17 - Ibata et al. 2017 radial velocities, the distances are estimated from fits to tracks
# PriceWhelan19 - Price-Whelan et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19 - Koposov et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19&Li17 - Koposov et al. 2019 distances, Li et al. 2017 radial velocities
# Koppelman19 - Koppelman et al. 2019 members
# dist - heliocentric distances (in kpc)
# radial_velocity - heliocentric radial velocities (in km/s)
# radial_velocity_error - radial velocity errors (in km/s), missing for the stars for which radial velocity was estimated from tracks


# source_id             flags    source           dist        radial_velocity   radial_velocity_error
  814635483643723520    Orphan   Li17             43.974155   121.08            6.11                   
  819953340350858752    Orphan   Li17             43.985195   107.11            7.57                   
  819854182442587392    Orphan   Li17             43.87882    120.54            7.72                   
  814827352720083968    Orphan   Li17             44.909298   120.66            2.52                   
  814989835625376640    Orphan   Li17             45.479244   111.11            7.91                   
  815043750351075328    Orphan   Li17             45.569595   119.77            5.05                   
  825734538130102400    Orphan   Li17             50.563854   103.19            14.59                  
  1018131343366018560   Orphan   Li17             52.053482   76.11             8.63                   
  3807285480505638784   Orphan   Koposov19&Li17   19.39866    229.0             3.45                   
  630417842327675776    Orphan   Koposov19&Li17   30.73858    184.0             4.83                   
  3890405535908322816   Orphan   Koposov19        31.95873    211.34154         ""                     
  642802947461337728    Orphan   Koposov19        30.12812    192.98337         ""                     
  799463292628940672    Orphan   Koposov19        40.30267    151.3892          ""                     
  3563015842679686016   Orphan   Koposov19        16.2403     207.69308         ""                     
  629555928290572032    Orphan   Koposov19        27.48432    203.4453          ""                     
  814497323135652864    Orphan   Koposov19        44.28556    121.46855         ""                     
  3757113798562328192   Orphan   Koposov19        18.07761    219.52504         ""                     
  5385327207462696576   Orphan   Koposov19        16.97688    116.17282         ""                     
  799758408422199808    Orphan   Koposov19        37.7117     148.25604         ""                     
  819624487591169152    Orphan   Koposov19        45.66928    95.398834         ""                     
  3565774796527976448   Orphan   Koposov19        15.79355    210.07072         ""                     
  824562836691917312    Orphan   Koposov19        44.66101    97.85276          ""                     
  807301298706617600    Orphan   Koposov19        37.32211    129.88606         ""                     
  3563038794985305216   Orphan   Koposov19        17.76139    208.67377         ""                     
  726584152949948544    Orphan   Koposov19        30.88879    193.49597         ""                     
  3869822918754406272   Orphan   Koposov19        21.9121     224.14102         ""                     
  3464530597611669504   Orphan   Koposov19        14.88751    124.78463         ""                     
  801408324401633664    Orphan   Koposov19        35.53812    132.79314         ""                     
  5380847251631779840   Orphan   Koposov19        16.99494    93.66718          ""                     
  813706568116922752    Orphan   Koposov19        40.67332    123.93089         ""                     
  642444953347420416    Orphan   Koposov19        28.53504    196.45197         ""                     
  799823623206083328    Orphan   Koposov19        39.69152    145.34059         ""                     
  744466232107315712    Orphan   Koposov19        34.56437    176.89781         ""                     
  3483495523923399296   Orphan   Koposov19        16.46925    167.97171         ""                     
  800538438905600640    Orphan   Koposov19        42.9809     145.70639         ""                     
  812926670775689984    Orphan   Koposov19        43.57103    138.48497         ""                     
  793696212405717504    Orphan   Koposov19        38.82981    163.55641         ""                     
  3535318805475705728   Orphan   Koposov19        16.18672    182.43991         ""                     
  799585024885253632    Orphan   Koposov19        38.8787     147.03831         ""                     
  3545871608841048832   Orphan   Koposov19        15.63717    195.89404         ""                     
  814812268794932608    Orphan   Koposov19        42.8501     117.04612         ""                     
  643637614225731200    Orphan   Koposov19        27.70957    191.29468         ""                     
  3558990363108389760   Orphan   Koposov19        16.78096    203.07011         ""                     
  800813454251637888    Orphan   Koposov19        38.26816    141.73132         ""                     
  623982645584012928    Orphan   Koposov19        26.93858    210.17079         ""                     
  794965598579903872    Orphan   Koposov19        29.90037    162.82785         ""                     
  5379867376317392384   Orphan   Koposov19        16.64579    79.92538          ""                     
  796535460666541696    Orphan   Koposov19        40.64494    149.35942         ""                     
  813632316722202112    Orphan   Koposov19        39.11229    126.301414        ""                     
  824633415890711424    Orphan   Koposov19        47.47855    95.624756         ""                     
  3534348177226211456   Orphan   Koposov19        16.35709    177.04173         ""                     
  738597146412411904    Orphan   Koposov19        28.44845    193.31625         ""                     
  800283700102935808    Orphan   Koposov19        38.5197     139.52153         ""                     
  800895883264108416    Orphan   Koposov19        40.85724    139.78055         ""                     
  739774238034068736    Orphan   Koposov19        31.40962    188.27682         ""                     
  819259204916849664    Orphan   Koposov19        44.55229    101.59236         ""                     
  825603769261776384    Orphan   Koposov19        43.30709    93.45972          ""                     
  3763431527951488000   Orphan   Koposov19        18.9457     222.08488         ""                     
  3478380320953877760   Orphan   Koposov19        16.87945    147.1559          ""                     
  3888592540017976448   Orphan   Koposov19        24.61672    218.0534          ""                     
  3563422387104579328   Orphan   Koposov19        17.22512    210.69499         ""                     
  623767033930090112    Orphan   Koposov19        24.42245    213.23154         ""                     
  740241152519155968    Orphan   Koposov19        31.31194    183.04488         ""                     
  6339065755426354048   Pal5     Ibata17          19.627733   -68.51            3.21                   
  6339618500537272448   Pal5     Ibata17          19.904877   -121.45           4.61                   
  6339631114857033856   Pal5     Ibata17          19.977085   -62.94            0.69                   
  4418123971384344832   Pal5     Ibata17          20.036987   -56.76            2.4                    
  4418151463471047424   Pal5     Ibata17          20.179888   -53.06            0.82                   
  4418156892309715456   Pal5     Ibata17          20.155169   -58.64            2.0                    
  4418921495271963136   Pal5     Ibata17          20.508749   -54.7             2.76                   
  4418919712861244416   Pal5     Ibata17          20.496803   -55.41            1.16                   
  4418920120882353280   Pal5     Ibata17          20.500181   -59.53            1.38                   
  4418920739357629184   Pal5     Ibata17          20.494526   -70.17            1.03                   
  4418920773717375872   Pal5     Ibata17          20.49648    -50.68            1.34                   
  4418732104394214272   Pal5     Ibata17          20.502932   -56.44            0.76                   
  4418919949083630080   Pal5     Ibata17          20.49933    -56.15            2.94                   
  4418732039970339968   Pal5     Ibata17          20.502733   -55.91            0.58                   
  4418732143049556096   Pal5     Ibata17          20.504398   -57.55            0.75                   
  4418919639845933568   Pal5     Ibata17          20.496943   -53.57            1.59                   
  4418721555954496128   Pal5     Ibata17          20.494677   -57.72            1.0                    
  4418724923208864128   Pal5     Ibata17          20.497835   -60.28            1.54                   
  4418919639845936000   Pal5     Ibata17          20.49541    -79.59            4.62                   
  4418725472964680064   Pal5     Ibata17          20.486284   -52.76            0.99                   
  4418919712861243264   Pal5     Ibata17          20.496347   -54.54            0.58                   
  4418913695611185920   Pal5     Ibata17          20.48972    -57.62            3.59                   
  4418914730699187328   Pal5     Ibata17          20.487186   -53.78            0.58                   
  4418915104360532864   Pal5     Ibata17          20.486954   -56.75            1.05                   
  4418915001281293440   Pal5     Ibata17          20.484821   -60.14            2.64                   
  4418920842436863744   Pal5     Ibata17          20.495588   -57.08            1.34                   
  4419082401927264256   Pal5     Ibata17          20.638317   -52.32            1.35                   
  4419079928026104448   Pal5     Ibata17          20.648508   -0.28             1.27                   
  4419078111255104384   Pal5     Ibata17          20.646133   -61.22            4.32                   
  4419059797514551168   Pal5     Ibata17          20.628836   -54.25            1.07                   
  4419070208514387072   Pal5     Ibata17          20.615234   -56.01            1.71                   
  4420577016185704320   Pal5     Ibata17          20.74592    -51.66            2.13                   
  4420607768151633408   Pal5     Ibata17          20.773102   -48.15            1.75                   
  4420603271321687552   Pal5     Ibata17          20.776974   -51.04            1.25                   
  4420603163946657792   Pal5     Ibata17          20.785568   -49.23            1.57                   
  4420604989308613248   Pal5     Ibata17          20.763266   -50.45            0.58                   
  4420709855230125952   Pal5     Ibata17          20.83105    -155.86           1.17                   
  4420608700160449280   Pal5     Ibata17          20.802158   -53.27            1.39                   
  4420734662961249280   Pal5     Ibata17          20.8845     -55.37            1.73                   
  4420717139494655360   Pal5     Ibata17          20.892483   -48.75            2.5                    
  4420552418908966912   Pal5     Ibata17          20.905783   -59.2             2.9                    
  4420527233220736128   Pal5     Ibata17          20.892273   -2.78             2.18                   
  4420749884325455616   Pal5     Ibata17          20.947414   -3.45             0.7                    
  4420553479766045824   Pal5     Ibata17          20.919003   -62.16            0.98                   
  4420740912138482944   Pal5     Ibata17          20.905476   -49.89            1.74                   
  4420750739023778432   Pal5     Ibata17          20.936152   -53.37            1.75                   
  4421129726937584512   Pal5     Ibata17          20.985102   35.77             3.45                   
  4421137904555364992   Pal5     Ibata17          21.008747   -54.5             2.51                   
  4420942432004721408   Pal5     Ibata17          21.003088   -53.68            2.91                   
  4421130487147097472   Pal5     Ibata17          20.99346    -54.83            2.74                   
  4421128077670137472   Pal5     Ibata17          20.97857    -47.55            3.94                   
  4420970057233967360   Pal5     Ibata17          21.052334   -58.02            1.46                   
  4420984939295809024   Pal5     Ibata17          21.090542   -54.0             3.24                   
  4420981464667196800   Pal5     Ibata17          21.0947     249.62            1.54                   
  4421084582536744832   Pal5     Ibata17          21.136131   -64.04            1.26                   
  4421075644710040960   Pal5     Ibata17          21.116913   -49.59            1.65                   
  4421086266163973376   Pal5     Ibata17          21.162905   -54.22            0.85                   
  4427119350890013312   Pal5     Ibata17          21.269053   -54.28            3.8                    
  4427116091010101888   Pal5     Ibata17          21.256607   -33.85            2.97                   
  4427113032993386112   Pal5     Ibata17          21.254166   -32.04            2.18                   
  4424730421359839872   Pal5     Ibata17          21.595045   -48.5             2.16                   
  4424745269063081088   Pal5     Ibata17          21.597172   33.3              1.15                   
  4424712176338855168   Pal5     Ibata17          21.636278   -53.06            2.87                   
  4426217893090213248   Pal5     Ibata17          21.663546   26.28             0.59                   
  4426348219581208960   Pal5     Ibata17          21.75401    -50.13            2.5                    
  4450090352114918784   Pal5     Ibata17          21.990948   -95.39            0.96                   
  6339635100586674176   Pal5     Ibata17          20.023144   35.85             2.91                   
  6339651829483748736   Pal5     Ibata17          19.973976   -88.87            3.34                   
  4418316080977455616   Pal5     Ibata17          20.048729   211.39            1.14                   
  4418294430046519936   Pal5     Ibata17          20.37324    -56.3             1.39                   
  4418925858959184128   Pal5     Ibata17          20.505291   -52.55            1.14                   
  4418726061375864320   Pal5     Ibata17          20.492228   -58.16            0.75                   
  4418914043504415104   Pal5     Ibata17          20.492317   -55.85            0.84                   
  4419053848983798400   Pal5     Ibata17          20.633408   -43.39            4.37                   
  4418306490314700288   Pal5     Ibata17          20.367874   -54.12            1.3                    
  4418305219004364416   Pal5     Ibata17          20.34665    -69.85            3.9                    
  4418310274181701632   Pal5     Ibata17          20.348772   -56.68            1.04                   
  4418687986489979136   Pal5     Ibata17          20.376083   -57.6             2.55                   
  4419089759206363776   Pal5     Ibata17          20.549002   -44.62            1.32                   
  4419025300337195264   Pal5     Ibata17          20.576544   -52.61            1.8                    
  4419086254513120768   Pal5     Ibata17          20.662235   -54.96            1.69                   
  4427081628192616576   Pal5     Ibata17          21.316206   -51.05            1.06                   
  4427653614757370624   Pal5     Ibata17          21.545465   -131.46           2.32                   
  4427226351411147648   Pal5     Ibata17          21.461008   -4.28             4.28                   
  4424743825954076032   Pal5     Ibata17          21.583105   -50.22            3.22                   
  4424754374393795072   Pal5     Ibata17          21.63166    100.19            2.44                   
  4426680989347901056   Pal5     Ibata17          21.924143   -94.89            4.43                   
  4426667387188891008   Pal5     Ibata17          21.924925   -47.35            0.78                   
  4418920808077110784   Pal5     PriceWhelan19    20.7        -55.03013         ""                     
  4418920846732620032   Pal5     PriceWhelan19    21.7        -55.02806         ""                     
  4418914863842345856   Pal5     PriceWhelan19    20.4        -55.034225        ""                     
  4418726027016125056   Pal5     PriceWhelan19    20.7        -55.02646         ""                     
  4418725889577171328   Pal5     PriceWhelan19    20.3        -55.037067        ""                     
  4418731829516302848   Pal5     PriceWhelan19    18.1        -55.01105         ""                     
  4418913218870688768   Pal5     PriceWhelan19    20.3        -55.045876        ""                     
  4418734165978521728   Pal5     PriceWhelan19    22.8        -54.98763         ""                     
  4418724034151291776   Pal5     PriceWhelan19    21.2        -55.047413        ""                     
  4418732791593809152   Pal5     PriceWhelan19    20.7        -54.981644        ""                     
  4419052204012341760   Pal5     PriceWhelan19    20.8        -54.800945        ""                     
  4418142117622280192   Pal5     PriceWhelan19    20.0        -55.59945         ""                     
  6339498589346000768   Pal5     PriceWhelan19    18.9        -56.100033        ""                     
  6339499379619987200   Pal5     PriceWhelan19    19.4        -56.106533        ""                     
  6339478312804685824   Pal5     PriceWhelan19    19.9        -56.236732        ""                     
  4421078432143578496   Pal5     PriceWhelan19    22.0        -53.783707        ""                     
  6339398155830632448   Pal5     PriceWhelan19    19.8        -56.283905        ""                     
  4427253907921168000   Pal5     PriceWhelan19    21.8        -53.19355         ""                     
  4427220338456828416   Pal5     PriceWhelan19    22.0        -53.07921         ""                     
  4427234700827469952   Pal5     PriceWhelan19    21.9        -53.039314        ""                     
  6337233350579111680   Pal5     PriceWhelan19    19.0        -57.262714        ""                     
  4427646704153765632   Pal5     PriceWhelan19    19.9        -52.71422         ""                     
  4424705647988505600   Pal5     PriceWhelan19    20.9        -52.43051         ""                     
  4426221707021159424   Pal5     PriceWhelan19    22.0        -52.24261         ""                     
  4450058431917932672   Pal5     PriceWhelan19    21.1        -50.70109         ""                     
  4439927909737905280   Pal5     PriceWhelan19    22.2        -49.382557        ""                     
  4445607604551159040   Pal5     PriceWhelan19    22.3        -48.037685        ""                     
  6339645953968373376   Pal5     Ibata17          19.980324   -59.77            1.58                   
  4418161221636772992   Pal5     Ibata17          20.15536    -53.48            1.02                   
